"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-LCC-GADMAR-002-2023-38602","LCC-GADMAR-002-2023-38602-2023-02-01T10:32:42.919Z","tender","EC-RUC-0760000420001-38602","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON ARENILLAS","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-LICO-GADMY-001-2023-38149","LICO-GADMY-001-2023-38149-2023-02-01T10:32:42.715Z","tender","EC-RUC-1960000620001-38149","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE YANTZAZA","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-LICO-GADP-01-2022-2786","LICO-GADP-01-2022-2786-2023-02-01T10:32:42.438Z","tender","EC-RUC-1360002920001-2786","MUNICIPIO DE PEDERNALES","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-LICS-EMAPAGEP-1-2023-439831","LICS-EMAPAGEP-1-2023-439831-2023-02-01T10:32:42.231Z","tender","EC-RUC-0968595970001-439831","EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUAYAQUIL EP - EMAPAG EP","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-MCBS-GADPRB-2023-001-119867","MCBS-GADPRB-2023-001-119867-2023-02-15T10:28:43.207Z-compiled","tender","EC-RUC-2060003840001-119867","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE BELLAVISTA ","es","2023-02-15T05:29:24-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","tender","EC-RUC-1560000350001-2653","GOBIERNO MUNICIPAL DEL CANTON AGUARICO","es","2023-02-17T05:47:02-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-LICSG-08D04S-01-2023-167462","LICSG-08D04S-01-2023-167462-2023-02-24T10:51:56.048Z-compiled","tender","EC-RUC-0860004580001-167462","DIRECCION DISTRITAL 08D04 - QUININDE - SALUD","es","2023-02-24T05:52:26-05:00","[""planning"",""tender""]"
"ocds-5wno2w-MCO-GADMSJB-001-2023-87201","MCO-GADMSJB-001-2023-87201-2023-02-01T10:32:42.493Z","tender","EC-RUC-1460001260001-87201","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SAN JUAN BOSCO","es","2023-01-30T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-MCO-GADP-2023-001-100074","MCO-GADP-2023-001-100074-2023-02-01T10:32:42.304Z","tender","EC-RUC-1160034140001-100074","GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA PALETILLAS","es","2023-01-30T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-CE-20230002322426-87397","CE-20230002322426-87397-2023-02-02T04:02:25.962Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-MCO-GADPRSR-003-2023-172532","MCO-GADPRSR-003-2023-172532-2023-02-24T10:51:44.520Z-compiled","tender","EC-RUC-1560504230001-172532","GAD PARROQUIAL DE SANTA ROSA","es","2023-02-24T05:52:26-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-MCO-URBINA-002-2023-120481","MCO-URBINA-002-2023-120481-2023-02-01T10:32:42.572Z","tender","EC-RUC-0460021050001-120481","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIA RURAL DE URBINA","es","2023-01-30T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-MCS-GADMLI-01-23-48254","MCS-GADMLI-01-23-48254-2023-02-01T10:32:41.889Z","tender","EC-RUC-1460000450001-48254","Gobierno Autónomo Descentralizado Municipal de Limón Indanza","es","2023-01-24T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-RE-CEP-IGM-001-2023-36136","RE-CEP-IGM-001-2023-36136-2023-02-01T10:32:22.619Z-compiled","tender","EC-RUC-1768007200001-36136","INSTITUTO GEOGRAFICO MILITAR","es","2023-02-01T05:32:45-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321047-409148","CE-20230002321047-409148-2023-02-02T04:01:29.865Z","tender","EC-RUC-1260041920001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE CHACARITA GADP RURAL CHACARITA","es","2023-01-12T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321584-115601","CE-20230002321584-115601-2023-02-02T04:01:54.624Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321585-115601","CE-20230002321585-115601-2023-02-02T04:01:54.662Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-CBCT-01-2023-99184","RE-CBCT-01-2023-99184-2023-02-16T10:32:38.532Z-compiled","tender","EC-RUC-0968518200001-99184","Cuerpo de Bomberos del Cantón  El Triunfo","es","2023-02-16T05:33:15-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-REC-EPMAPAT-003-2023-297776","REC-EPMAPAT-003-2023-297776-2023-02-01T10:32:42.793Z","tender","EC-RUC-0460028810001-297776","EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE TULCAN","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-CE-20230002321586-115601","CE-20230002321586-115601-2023-02-02T04:01:54.681Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321587-115601","CE-20230002321587-115601-2023-02-02T04:01:54.702Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-HGA-001-2023-2764","RE-HGA-001-2023-2764-2023-02-08T10:36:59.733Z-compiled","tender","EC-RUC-1865020860001-2764","HOSPITAL GENERAL - AMBATO","es","2023-02-08T05:37:24-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-DPEO-001-2023-105149","RE-DPEO-001-2023-105149-2023-02-12T10:42:23.239Z-compiled","tender","EC-RUC-0760024870001-105149","Consejo Nacional Electoral Delegacion Provincial de El Oro","es","2023-02-12T05:42:34-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-OACL-GADMM-1-2023-100467","RE-OACL-GADMM-1-2023-100467-2023-02-14T10:32:17.628Z-compiled","tender","EC-RUC-0160031900001-100467","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE MARIANO MORENO","es","2023-02-14T05:32:51-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-OACL-GADS-01-2023-110570","RE-OACL-GADS-01-2023-110570-2023-02-01T10:32:42.846Z","tender","EC-RUC-0160027200001-110570","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE SININCAY","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-RE-OACL-MIMG-01-2023-44856","RE-OACL-MIMG-01-2023-44856-2023-02-01T10:32:42.886Z","tender","EC-RUC-0960000220001-44856","Municipalidad de Guayaquil","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-CE-20230002321588-115601","CE-20230002321588-115601-2023-02-02T04:01:54.722Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321589-115601","CE-20230002321589-115601-2023-02-02T04:01:54.742Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321590-115601","CE-20230002321590-115601-2023-02-02T04:01:54.762Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321591-115601","CE-20230002321591-115601-2023-02-02T04:01:54.788Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPMTP-001-2023-1032968","RE-PU-EPMTP-001-2023-1032968-2023-02-09T10:37:49.141Z-compiled","tender","EC-RUC-0790005384001-1032968","EMPRESA PUBLICA MUNICIPAL DE TRANSITO DE PASAJE EPMT-P","es","2023-02-09T05:38:31-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HAIAM-01-2023-67972","RE-PU-HAIAM-01-2023-67972-2023-02-24T10:51:35.983Z-compiled","tender","EC-RUC-1768033710001-67972","HOSPITAL DE ATENCION INTEGRAL DEL ADULTO MAYOR","es","2023-02-24T05:52:28-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321592-115601","CE-20230002321592-115601-2023-02-02T04:01:54.804Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321593-115601","CE-20230002321593-115601-2023-02-02T04:01:54.822Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322427-87397","CE-20230002322427-87397-2023-02-02T04:02:25.980Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-SIE-CONAGOPARE-01-23-101064","SIE-CONAGOPARE-01-23-101064-2023-02-15T10:29:01.875Z-compiled","tender","EC-RUC-1768105050001-101064","CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DEL ECUADOR","es","2023-02-15T05:29:26-05:00","[""planning"",""tender""]"
"ocds-5wno2w-SIE-DD07D03-001-2023-9272","SIE-DD07D03-001-2023-9272-2023-02-16T10:32:54.031Z-compiled","tender","EC-RUC-0760004920001-9272","DIRECCION DISTRITAL 07D03-ATAHUALPA-PORTOVELO-ZARUMA-SALUD","es","2023-02-16T05:33:16-05:00","[""planning"",""tender""]"
"ocds-5wno2w-SIE-DD08D04S-01-2023-167462","SIE-DD08D04S-01-2023-167462-2023-02-18T10:53:07.394Z-compiled","tender","EC-RUC-0860004580001-167462","DIRECCION DISTRITAL 08D04 - QUININDE - SALUD","es","2023-02-18T05:53:43-05:00","[""planning"",""tender""]"
"ocds-5wno2w-SIE-03D03-004-2023-8574","SIE-03D03-004-2023-8574-2023-02-23T10:50:39.864Z-compiled","tender","EC-RUC-0360007670001-8574","DIRECCION DISTRITAL 03D03- LA TRONCAL- SALUD","es","2023-02-23T05:51:25-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-SIE-FYPROCAI-2023-02-288567","SIE-FYPROCAI-2023-02-288567-2023-02-01T10:32:42.786Z","tender","EC-RUC-1060031140001-288567","EMPRESA PUBLICA MUNICIPAL DE FAENAMIENTO Y PRODUCTOS CARNICOS DE IBARRA","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-SIE-GADPOM-2023-001-116467","SIE-GADPOM-2023-001-116467-2023-02-01T10:32:35.155Z-compiled","tender","EC-RUC-2260003050001-116467","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE POMPEYA","es","2023-02-01T05:32:45-05:00","[""planning"",""tender""]"
"ocds-5wno2w-CE-20230002321594-115601","CE-20230002321594-115601-2023-02-02T04:01:54.839Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-SIE-GADMA-001-2023-2741","SIE-GADMA-001-2023-2741-2023-02-17T10:46:27.174Z-compiled","tender","EC-RUC-1560000430001-2741","GOBIERNO MUNICIPAL DE ARCHIDONA","es","2023-02-17T05:47:06-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-SIE-EPMAPAT-001-2023-297776","SIE-EPMAPAT-001-2023-297776-2023-03-01T11:24:57.567Z-compiled","tender","EC-RUC-0460028810001-297776","EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE TULCAN","es","2023-03-01T06:25:59-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-SIE-GADPRC-002-2023--111055","SIE-GADPRC-002-2023--111055-2023-02-01T10:32:42.854Z","tender","EC-RUC-0560017430001-111055","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL CUSUBAMBA","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-CE-20230002321596-115601","CE-20230002321596-115601-2023-02-02T04:01:55.050Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321597-115601","CE-20230002321597-115601-2023-02-02T04:01:55.068Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-SIE-GADPRACH-03-2023-134382","SIE-GADPRACH-03-2023-134382-2023-02-18T10:52:51.913Z-compiled","tender","EC-RUC-0660827410001-134382","GOBIERNO AUTONOMO DESCENTRALIZADO PARRIQUIAL RURAL DE ACHUPALLAS","es","2023-02-18T05:53:45-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-SIE-JZPMG-2023-01-84471","SIE-JZPMG-2023-01-84471-2023-02-28T10:45:40.776Z-compiled","tender","EC-RUC-0460026950001-84471","JEFATURA ZONAL DE POLICIA MONTADA GUAYAS","es","2023-02-28T05:46:49-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-SIE-MIMG-001-2023-44856","SIE-MIMG-001-2023-44856-2023-02-01T10:32:42.825Z","tender","EC-RUC-0960000220001-44856","Municipalidad de Guayaquil","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-SIE-RE-HDGDZ-01-2023-62010","SIE-RE-HDGDZ-01-2023-62010-2023-02-23T10:50:50.843Z-compiled","tender","EC-RUC-1768034870001-62010","HOSPITAL DR. GUSTAVO DOMINGUEZ Z.","es","2023-02-23T05:51:29-05:00","[""planning"",""tender""]"
"ocds-5wno2w-CE-20230002321598-115601","CE-20230002321598-115601-2023-02-02T04:01:55.082Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321599-115601","CE-20230002321599-115601-2023-02-02T04:01:55.097Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321600-115601","CE-20230002321600-115601-2023-02-02T04:01:55.118Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321601-115601","CE-20230002321601-115601-2023-02-02T04:01:55.145Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321602-115601","CE-20230002321602-115601-2023-02-02T04:01:55.162Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321603-115601","CE-20230002321603-115601-2023-02-02T04:01:55.178Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321604-115601","CE-20230002321604-115601-2023-02-02T04:01:55.201Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321605-115601","CE-20230002321605-115601-2023-02-02T04:01:55.224Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321606-115601","CE-20230002321606-115601-2023-02-02T04:01:55.239Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002321607-115601","CE-20230002321607-115601-2023-02-02T04:01:55.255Z","tender","EC-RUC-1060020610001","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PEÑAHERRERA","es","2023-01-17T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322415-87397","CE-20230002322415-87397-2023-02-02T04:02:25.757Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322416-87397","CE-20230002322416-87397-2023-02-02T04:02:25.779Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322417-87397","CE-20230002322417-87397-2023-02-02T04:02:25.794Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322418-87397","CE-20230002322418-87397-2023-02-02T04:02:25.810Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322419-87397","CE-20230002322419-87397-2023-02-02T04:02:25.826Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322420-87397","CE-20230002322420-87397-2023-02-02T04:02:25.843Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322421-87397","CE-20230002322421-87397-2023-02-02T04:02:25.860Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322422-87397","CE-20230002322422-87397-2023-02-02T04:02:25.885Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322423-87397","CE-20230002322423-87397-2023-02-02T04:02:25.903Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322424-87397","CE-20230002322424-87397-2023-02-02T04:02:25.921Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322425-87397","CE-20230002322425-87397-2023-02-02T04:02:25.945Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322428-87397","CE-20230002322428-87397-2023-02-02T04:02:26.004Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322429-87397","CE-20230002322429-87397-2023-02-02T04:02:26.018Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322430-87397","CE-20230002322430-87397-2023-02-02T04:02:26.043Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322431-87397","CE-20230002322431-87397-2023-02-02T04:02:26.069Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002322432-87397","CE-20230002322432-87397-2023-02-02T04:02:26.093Z","tender","EC-RUC-0760039710001","CENTRO DE SALUD B -PIÑAS","es","2023-01-19T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002325212-131684","CE-20230002325212-131684-2023-02-02T04:04:42.059Z","tender","EC-RUC-0968566870001","CUERPO DE BOMBEROS DE SANTA LUCIA","es","2023-01-27T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002325913-56835","CE-20230002325913-56835-2023-02-02T04:05:42.859Z","tender","EC-RUC-0190003809001","EMPRESA ELECTRICA REGIONAL CENTROSUR C.A.","es","2023-01-30T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002326485-872499","CE-20230002326485-872499-2023-02-02T04:06:19.526Z","tender","EC-RUC-0360032780001","COORDINACION ZONAL 6 - SENESCYT","es","2023-01-31T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002326512-542207","CE-20230002326512-542207-2023-02-02T04:06:20.452Z","tender","EC-RUC-1660017300001","DIRECCIÓN DISTRITAL 16D02 - ARAJUNO - EDUCACIÓN","es","2023-01-31T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002326633-561373","CE-20230002326633-561373-2023-02-02T04:06:28.006Z","tender","EC-RUC-1768178440001","COORDINACION ZONAL 3 - ARCSA","es","2023-01-31T00:00:00-05:00","[""tender"",""award"",""contract""]"
"ocds-5wno2w-CE-20230002326696-4081","CE-20230002326696-4081-2023-02-02T04:06:34.449Z","tender","EC-RUC-0960001540001","ILUSTRE MUNICIPALIDAD DE SANTA ELENA","es","2023-01-31T00:00:00-05:00","[""tender"",""award"",""contract""]"
