"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-LICSG-08D04S-01-2023-167462","LICSG-08D04S-01-2023-167462-2023-02-24T10:51:56.048Z-compiled","CONTRATACIÓN DEL SERVICIO DE PÓLIZAS DE SEGUROS PARA LA DIRECCIÓN DISTRITAL 08D04 QUININDÉ – SALUD EN EL RAMO DE VEHÍCULOS ADMINISTRATIVOS Y ESPECIAL -  AMBULANCIA, INCENDIO Y LINEAS ALIADAS, ROBO Y ASALTO, EQUIPOS ELECTRÓNICOS, ROTURA DE MAQUINARIA","2023.320.1166.0000.90.00.000.001.000.0804.570201.000000.001.0000.0000","","26788.96","USD"
"ocds-5wno2w-MCO-GADMSJB-001-2023-87201","MCO-GADMSJB-001-2023-87201-2023-02-01T10:32:42.493Z","CONSTRUCCION DE BAÃOS PUBLICOS EN WAPIS","00.00.F611.360.750107.032.14.08.99999999.000","","10127.57","USD"
"ocds-5wno2w-MCO-GADP-2023-001-100074","MCO-GADP-2023-001-100074-2023-02-01T10:32:42.304Z","CONSTRUCCIÓN DEL PROYECTO DE CUBIERTA METÁLICA PARA LAS  CANCHAS EXISTENTES EN LOS BARRIOS CAUCHO GRANDE Y AÑALCAL,  PARROQUIA PALETILLAS, CANTÓN ZAPOTILLO, PROVINCIA DE LOJA","750104","","124552.28","USD"
"ocds-5wno2w-MCO-GADPRSR-003-2023-172532","MCO-GADPRSR-003-2023-172532-2023-02-24T10:51:44.520Z-compiled","Construcción del centro de acopio de leche, en apoyo al fomento productivo de las asociaciones agropecuarias de la parroquia Santa Rosa, del cantón El Chaco, provincia de Napo","75.05.01","","99999.99","USD"
"ocds-5wno2w-MCO-URBINA-002-2023-120481","MCO-URBINA-002-2023-120481-2023-02-01T10:32:42.572Z","FORTALECIMIENTO DE LA IMAGEN TURÍSTICA DE URBINA Y SUS COMUNIDADES A TRAVES DE IMPLEMENTACIÓN DE LETRAS COPOREAS.","750104","","42219.04","USD"
"ocds-5wno2w-MCS-GADMLI-01-23-48254","MCS-GADMLI-01-23-48254-2023-02-01T10:32:41.889Z","CONTRATACIÓN DE SERVICIO DE PLANIFICACIÓN, ORGANIZACIÓN Y EJECUCIÓN DE DESFILE DE COMPARSAS Y FESTIVAL ARTÍSTICO, CULTURAL Y RECREATIVO PARA EL PROYECTO “SALVAGUARDAR Y PRESERVAR EL PATRIMONIO CULTURAL Y FOMENTAR LA PROMOCIÓN DEL PATRIMONIO TURÍSTICO DEL CANTÓN LIMÓN INDANZA, MEDIANTE EL CARNAVAL DE LA SELVA LIMÓN INDANZA 2023”","210.7302051","","27963.37","USD"
"ocds-5wno2w-RE-CEP-IGM-001-2023-36136","RE-CEP-IGM-001-2023-36136-2023-02-01T10:32:22.619Z-compiled","Contratar un servicio de diseño, generación de data variable, impresión y asistencia para la elaboración de kit de escrutinio para el referéndum 2023.","2023.072.0000.0000.01.00.000.002.000.1701.530846.000000.001.0000.0000-","","431945.29","USD"
"ocds-5wno2w-RE-CBCT-01-2023-99184","RE-CBCT-01-2023-99184-2023-02-16T10:32:38.532Z-compiled","CONTRATACIÓN DE LOS SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO Y  ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA LOS VEHÍCULOS  DEL CUERPO DE BOMBEROS DEL GAD MUNICIPAL DEL CANTÓN EL TRIUNFO","5.3.08.13-5.3.04.05","","21732.50","USD"
"ocds-5wno2w-REC-EPMAPAT-003-2023-297776","REC-EPMAPAT-003-2023-297776-2023-02-01T10:32:42.793Z","CONTRATACIÓN DE ANUNCIOS PUBLICITARIOS POR MEDIOS DE COMUNICACIÓN RADIALES PARA INFORMAR ALA CIUDADANÍA SOBRE LOS SERVICIOS Y PROYECTOS DE LA EMPRESA PÚBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE TULCÁN.","11.53.02.07.001.0","","1800.00","USD"
"ocds-5wno2w-RE-HGA-001-2023-2764","RE-HGA-001-2023-2764-2023-02-08T10:36:59.733Z-compiled","ADQUISICIÓN DE DIÉSEL 2 INDUSTRIAL POR EL PERIODO 2023 - 2024 PARA EL HOSPITAL GENERAL AMBATO","02.00.000.002.530255.1801.601.0000.0000","","206546.33","USD"
"ocds-5wno2w-RE-DPEO-001-2023-105149","RE-DPEO-001-2023-105149-2023-02-12T10:42:23.239Z-compiled","SERVICIO DE INTERNET DE LA DELEGACIÓN PROVINCIAL ELECTORAL","2023.580.0007.0000.01.00.000.001.000.0701.530105.000000.001.0000.0000-","","5346.00","USD"
"ocds-5wno2w-RE-OACL-GADMM-1-2023-100467","RE-OACL-GADMM-1-2023-100467-2023-02-14T10:32:17.628Z-compiled","CONTRATACIÓN DE SERVICIOS DE ORGANIZACIÓN, LOGISTICA Y PAQUETE ARTÍSTICO PARA EL FOMENTO AL RESCATE Y FORTALECIMIENTO DE LA CULTURA Y TRADICIONES POR LA CONMEMORACIÓN DE LOS 83 AÑOS DE ANIVERSARIO DE PARROQUIALIZACIÓN DE MARIANO MORENO-GUALACEO-AZUAY","73.02.05.01","","16964.00","USD"
"ocds-5wno2w-RE-OACL-GADS-01-2023-110570","RE-OACL-GADS-01-2023-110570-2023-02-01T10:32:42.846Z","CONTRATACION DE LOS SERVICIOS ARTISTICOS DE MÁXIMO ESCALERAS, ORQUESTA MASTERSHOW, RENATO ABAD, RUBEN DARIO Y SU ORQUESTA STAR BAND, PARA LA PRESENTACION EN LOS EVENTOS PROGRAMADOS EN CONMEMORACIÓN DE LOS 170 AÑOS DEPARROQUIALIZACIÓN DE SININCAY.","73.02.05","","15500.00","USD"
"ocds-5wno2w-RE-OACL-MIMG-01-2023-44856","RE-OACL-MIMG-01-2023-44856-2023-02-01T10:32:42.886Z","CONTRATACIÓN DE ARTISTAS PARA SHOW ARTÍSTICO MUSICAL ?TRADICIÓN GUAYAQUILEÑA?","730606","","118994.10","USD"
"ocds-5wno2w-RE-PU-EPMTP-001-2023-1032968","RE-PU-EPMTP-001-2023-1032968-2023-02-09T10:37:49.141Z-compiled","CONTRATACIÓN DE UN DOMINIO WEB PARA LA EMPRESA PÚBLICA MUNICIPAL DE TRÁNSITO DE PASAJE EPMT-P","530702","","66.00","USD"
"ocds-5wno2w-RE-PU-HAIAM-01-2023-67972","RE-PU-HAIAM-01-2023-67972-2023-02-24T10:51:35.983Z-compiled","CONTRATACIÓN DE SOPORTE TÉCNICO PARA EJECUTAR EL CIERRE, APERTURA DELPERIODO 2022-2023 DEL MÓDULO DE BIENES Y EXISTENCIAS, CREACIÓN DEPROVEEDORES NUEVOS EN EL SISTEMA OLYMPO, IMPRESIÓN DE ETIQUETAS DECÓDIGOS PARA BIENES DE LARGA DURACIÓN Y SUJETOS","2023.320.1429.0000.90.00.000.005.000.1701.530701.000000.001.0000.0000-","","500.00","USD"
"ocds-5wno2w-SIE-CONAGOPARE-01-23-101064","SIE-CONAGOPARE-01-23-101064-2023-02-15T10:29:01.875Z-compiled","Contratación de los servicios para la ejecución de la organización y logística del evento científico cultural -v congreso ambiental.","730248","","",""
"ocds-5wno2w-SIE-DD07D03-001-2023-9272","SIE-DD07D03-001-2023-9272-2023-02-16T10:32:54.031Z-compiled","CONTRATACIÓN DEL SERVICIO DE LIMPIEZA DE 8 Y 24 HORAS INCLUIDO MATERIALES E INSUMOS PARA EL HOSPITAL BASICO DR. HUMBERTO MOLINA ASTUDILLO, CENTRO DE SALUD PORTOVELO TIPO B + 1 UTPR, CENTRO DE SALUD ZARUMA Y CENTRO DE SALUD PACCHA DE LA DIRECCION DISTRITAL 07D03 ATAHUALPA- PORTOVELO- ZARUMA SALUD","2023.320.1140.0000.90.00.000.004.000.0713.530209.000000.001.0000.0000","","",""
"ocds-5wno2w-SIE-DD08D04S-01-2023-167462","SIE-DD08D04S-01-2023-167462-2023-02-18T10:53:07.394Z-compiled","ADQUISICIÓN DE MATERIALES DE OFICINA NO CATALOGADOS (RESMAS DE PAPEL BOND A4 DE 75GR) PARA ABASTECIMIENTO DEL DISTRITO 08D04 SALUD Y UNIDADES OPERATIVAS","2023.320.1166.0000.90.00.000.001.000.0804.530804.000000.001.0000.0000","","",""
"ocds-5wno2w-SIE-03D03-004-2023-8574","SIE-03D03-004-2023-8574-2023-02-23T10:50:39.864Z-compiled","“ADQUISICIÓN DE MEDICAMENTOS NO CATALOGADOS DEL GRUPO TERAPEUTICO A: TRACTO ALIMENTARIO Y METABOLISMO PARA LA DIRECCIÓN DISTRITAL 03D03 LA TRONCAL SALUD“","2023.320.1055.0000.90.00.000.001.000.0304.530809.000000.001.0000.0000","","",""
"ocds-5wno2w-SIE-FYPROCAI-2023-02-288567","SIE-FYPROCAI-2023-02-288567-2023-02-01T10:32:42.786Z","ADQUISICION DE EQUIPOS DE PROTECCIÓN PERSONAL E.P.P PARA EL PERSONAL OPERATIVO","530802","","",""
"ocds-5wno2w-SIE-GADPOM-2023-001-116467","SIE-GADPOM-2023-001-116467-2023-02-01T10:32:35.155Z-compiled","ADQUISICION DE 176 KITS ALIMENTICIOS PARA EL GRUPO DE ATENCION PRIORITARIA PARROQUIAL POMPEYA, CANTÓN JOYA DE LOS SACHAS, PROVINCIA DE ORELLANA 2022","730801","","",""
"ocds-5wno2w-SIE-GADMA-001-2023-2741","SIE-GADMA-001-2023-2741-2023-02-17T10:46:27.174Z-compiled","ADQUISICION DE INSUMOS QUIMICOS PARA LAS PLANTAS DE AGUA ADMINISTRADAS POR EL GOBIENO AUTONOMO DESCENTRALIZADO DEL MUNICIPIO DE ARCHIDONA 2023","7.3.08.19.001","","",""
"ocds-5wno2w-SIE-EPMAPAT-001-2023-297776","SIE-EPMAPAT-001-2023-297776-2023-03-01T11:24:57.567Z-compiled","ADQUISICIÓN DE 13500 KG DE SULFATO DE ALUMINIO PARA POTABILIZACIÓN DE AGUA EN LA P.T.A.P.","63.10.05.001.0.","","",""
"ocds-5wno2w-SIE-GADPRC-002-2023--111055","SIE-GADPRC-002-2023--111055-2023-02-01T10:32:42.854Z","Adquirir materiales de construcción para las comunidades de la parroquia Cusubamba, cantón Salcedo, provincia Cotopaxi","730811.02","","",""
"ocds-5wno2w-SIE-GADPRACH-03-2023-134382","SIE-GADPRACH-03-2023-134382-2023-02-18T10:52:51.913Z-compiled","“ABONO ORGÁNICO PARA LA EJECUCIÓN DEL PRESUPUESTO PARTICIPATIVO 2022 DE LAS COMUNIDADES DE: COCHALOMA INCA ÑAN, MAPAGUIÑA, SHAGLAY, OZOGOCHE ALTO, DE LA PARROQUIA ACHUPALLAS”.","73.08.14","","",""
"ocds-5wno2w-SIE-JZPMG-2023-01-84471","SIE-JZPMG-2023-01-84471-2023-02-28T10:45:40.776Z-compiled","ADQUISICIÓN DE BALANCEADO PELETIZADO DE CABALLOS ADULTOS, BALANCEADO PELETIZADO POTROS Y FORRAJE (PACA MIXTA ALFALFA – RAYGRAS) PARA LOS CABALLOS DE LA JOPM-Z8.","2023.052.0071.0000.01.00.000.001.000.0901.530823.000000.001.0000.0000","","",""
"ocds-5wno2w-SIE-MIMG-001-2023-44856","SIE-MIMG-001-2023-44856-2023-02-01T10:32:42.825Z","CONTRATACIÓN DE SERVICIO DE RADIOLOCALIZACIÓN POR GPS PARA VEHÍCULOS, MAQUINARIAS Y EMBARCACIONES DE PROPIEDAD DEL G.A.D MUNICIPAL DE GUAYAQUIL","530246","","",""
"ocds-5wno2w-SIE-RE-HDGDZ-01-2023-62010","SIE-RE-HDGDZ-01-2023-62010-2023-02-23T10:50:50.843Z-compiled","ADQUISICIÓN DE GASES MEDICINALES PARA ABASTECER EL HOSPITAL DR. GUSTAVO DOMINGUEZ Z. DE LA CIUDAD DE SANTO DOMINGO","2023.320.1428.0000.90.00.000.003.000.2301.530809.000000.001.0000.0000","","",""
"ocds-5wno2w-MCO-GADPRT-2023-0001-106968","MCO-GADPRT-2023-0001-106968-2023-02-09T10:37:53.880Z-compiled","REACTIVACIÓN ECONÓMICA DEL SECTOR CAÑICULTOR DE LA COMUNA SAN JACINTO MEDIANTE LA REPOTENCIACIÓN DE LA PANELERA COMUNITARIA","750501","","55043.23","USD"
"ocds-5wno2w-CDC-CONAFIPS-02-2023-448191","CDC-CONAFIPS-02-2023-448191-2023-02-02T10:37:36.312Z","CONTRATACIÓN DE LA AUDITORÍA EXTERNA AL CUMPLIMIENTO DE CONDICIONES FINANCIERAS, EN LO QUE CORRESPONDE A CONAFIPS ESTABLECIDAS EN EL CRÉDITO NO. CEC1012 02 U DEL EJERCICIO ECONÓMICO 2022","45021010","","14149.91","USD"
"ocds-5wno2w-CDC-EEPGSA-001-2023-3208","CDC-EEPGSA-001-2023-3208-2023-02-02T10:37:21.061Z-compiled","CONTRATACIÓN DE SERVICIOS DE AUTORÍA EXTERNA PARA DICTAMINAR LA RAZONABILIDAD DE LOS ESTADOS FINANCIEROS DE LA EMPRESA ELÉCTRICA PROVINCIAL GALÁPAGOS ELECGALAPAGOS S. A. POR EL EJERCICIO ECONÓMICO TERMINADO AL 31 DE DICIEMBRE DEL 2022","5.2.2.02.10.01.02.12.04.40.02","","22500.00","USD"
"ocds-5wno2w-CDC-GADMCM-01-2023-60350","CDC-GADMCM-01-2023-60350-2023-02-02T10:37:36.269Z","ESTUDIOS DE SUELOS PARA LA CONSTRUCCIÓN DEL MIRADOR TURÍSTICO BARRIO MIRAFLORES EN LA CABECERA CANTONAL DE MERA","381.7.3.06.07.01","","6658.00","USD"
"ocds-5wno2w-CDC-CONAFIPS-01-2023-448191","CDC-CONAFIPS-01-2023-448191-2023-02-28T10:45:40.991Z-compiled","CONSULTORÍA DE CALCULO ACTUARIAL PARA EL PERSONAL BAJO CÓDIGO DE TRABAJO","45021010","","500.00","USD"
"ocds-5wno2w-CDC-GADMCP-001-2023-2345","CDC-GADMCP-001-2023-2345-2023-02-02T10:37:36.556Z","FISCALIZACIÓN EXTERNA PARA LA REMODELACIÓN DEL COMPLEJO DEPORTIVO DEL BARRIO LIBERTAD, CIUDAD DE PUYO, CANTÓN Y PROVINCIA DE PASTAZA, ETAPA III","360.73.06.04.001","","17981.28","USD"
"ocds-5wno2w-CDC-GADMSJB-001-2023-87201","CDC-GADMSJB-001-2023-87201-2023-02-02T10:37:36.352Z","CONTRATACIÓN DE PERSONA NATURAL O JURÍDICA PARA LA ELABORACIÓN DE UN PLAN ESTRATÉGICO DE TURISMO PARA EL CANTÓN SAN JUAN BOSCO","00.00.F611.320.730601.000.14.08.99999999.000","","7000.00","USD"
"ocds-5wno2w-CDC-GADPRC-02-2023-284080","CDC-GADPRC-02-2023-284080-2023-02-02T10:37:36.582Z","FISCALIZACION PARA LA CONSTRUCCIÓN DE CUBIERTA Y MANTENIMIENTO DE CENTRO DE DESARROLLO COMUNITARIO DE LA COMUNA BAJADITA DE COLONCHE, PARROQUIA COLONCHE, CANTÓN SANTA ELENA, PROVINCIA DE SANTA ELENA","730604","","1500.00","USD"
"ocds-5wno2w-CDC-GADPRPM-001-2023-103556","CDC-GADPRPM-001-2023-103556-2023-02-02T10:37:23.315Z-compiled","ESTUDIO VIAL DE LA VÍA SECTOR MIRAFLORES TRAMOS: ABS 2+037 A SHIRI NAUPI  Y DE LA ABS 0+000 A UNIÓN BOLIVARIANA","750501","","45000.00","USD"
"ocds-5wno2w-CDC-GADPS-2023-001-114263","CDC-GADPS-2023-001-114263-2023-02-02T10:37:36.167Z","ELABORACIÓN DE PROYECTOS PARA VARIAS OBRAS DE INFRAESTRUCTURA Y DRENAJE PARA LOS DIFERENTES BARRIOS DE LA PARROQUIA SACAPALCA","730601","","19050.00","USD"
"ocds-5wno2w-COTO-GAD-I-002-2023-2783","COTO-GAD-I-002-2023-2783-2023-02-02T10:37:36.550Z","CONSTRUCCIÓN DEL PARQUE DE LA JUVENTUD SECTOR YACUCALLE DEL CANTÓN IBARRA","750104","","939930.20","USD"
"ocds-5wno2w-RE-CEP-CC-001-2023-58931","RE-CEP-CC-001-2023-58931-2023-02-02T10:37:18.548Z-compiled","SERVICIO DE ARRENDAMIENTO DE 300 CUENTAS DE MICROSOFT 365 BUSINESS BASIC Y 50 CUENTAS EXCHANGE ONLINE PLAN 1","2023.581.0000.0000.01.00.000.001.000.1701.530702.000000.001.0000.0000-","","15246.00","USD"
"ocds-5wno2w-CDC-PASGADML-R1-2023-31565","CDC-PASGADML-R1-2023-31565-2023-02-24T10:51:44.830Z-compiled","CONSULTORÍA, ASESORÍA E INVESTIGACIÓN ESPECIALIZADA-SALA DE  RADIOLOGÍA","220.73.06.01.00.01","","3806.95","USD"
"ocds-5wno2w-COTO-GADPAJAN-1-2023-140482","COTO-GADPAJAN-1-2023-140482-2023-03-01T11:25:11.147Z-compiled","REGENERACIÓN Y HABILITACIÓN DE AREAS DE COMERCIALIZACIÓN EN EL MONUMENTO DEL ARCO A LA IDENTIDAD MANABITA UBICADO EN EL SECTOR LA CADENA EN EL CANTÓN PAJÁN, PROVINCIA DE MANABÍ","75.01.04","","267982.49","USD"
"ocds-5wno2w-LCC-EMAPAGEP-02-2023-439831","LCC-EMAPAGEP-02-2023-439831-2023-02-02T10:37:36.407Z","ADMINISTRACIÓN DE CONTRATO (CONSTRUCCIÓN Y FISCALIZACIÓN) PARA LA REPOTENCIACIÓN INTEGRAL DE LA ESTACIÓN DE BOMBEO DE AGUAS SERVIDAS CERRO COLORADO E INSTALACION LINEA DE IMPULSIÓN CON DESCARGA A LA PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LOS MERINOS","61730604","","123126.90","USD"
"ocds-5wno2w-LCC-ETAPA-01-2023-312203","LCC-ETAPA-01-2023-312203-2023-02-02T10:37:36.508Z","Fiscalización de la Construcción de Tramos de Alcantarillado Sanitario e Instalaciones Domiciliarias, para los Sectores de San Antonio y San José de la parroquia de Sidcay","7306040010000","","102613.33","USD"
"ocds-5wno2w-COTO-IMSE-001-2023-4081","COTO-IMSE-001-2023-4081-2023-02-28T10:45:52.031Z-compiled","MANTENIMIENTO DE LA CANCHA DE FUTBOL DE CESPED SINTÉTICO DE LA COMUNA PALMAR – PARROQUIA COLONCHE DEL CANTÓN SANTA ELENA","750104","","400049.36","USD"
"ocds-5wno2w-LCC-EUSEP-001-2023-923136","LCC-EUSEP-001-2023-923136-2023-03-01T11:25:10.616Z-compiled","DISEÑO Y PLANIFICACIÓN ARQUITECTÓNICA PARA LA ADECUACIÓN DE LOS BLOQUES A Y C DEL CAMPUS UNIVERSITARIO HUAYNA CÁPAC DE LA UNIVERSIDAD DE CUENCA Fase I-A","73.06.05","","102300.00","USD"
"ocds-5wno2w-MCO-GADPRH-001-2023-120985","MCO-GADPRH-001-2023-120985-2023-02-02T10:37:35.924Z","Construcción del  área infantil en el parque central del barrio Minas Nuevas de la parroquia Huertas cantón Zaruma, provincia de El Oro","750104","","27857.53","USD"
"ocds-5wno2w-MCBS-GPH-01-2023-117483","MCBS-GPH-01-2023-117483-2023-02-15T10:28:43.821Z-compiled","PROYECTO DE RESCATE Y FORTALECIMIENTO DE LA IDENTIDAD CULTURAL VII CARNAVAL CULTURAL HUAMBI 2023.","73.02.05.05","","9000.00","USD"
"ocds-5wno2w-LICS-EEPGSA-01-2023-3208","LICS-EEPGSA-01-2023-3208-2023-03-01T11:25:10.019Z-compiled","MEJORAMIENTO DE LOS  SISTEMA CONTRA  INCENDIOS DE LAS  CENTRALES DE  ELECGALAPAGOS SANTA  CRUZ Y BALTRA","01.40.001.3-2020.2023.712101.2020-69.3","","943521.97","USD"
"ocds-5wno2w-LICSG-GADIMCD-1-2023-44718","LICSG-GADIMCD-1-2023-44718-2023-03-01T11:24:57.784Z-compiled","CONTRATACIÓN DE PÓLIZA DE FIDELIDAD DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO ILUSTRE MUNICIPALIDAD DEL CANTÓN DAULE","570201","","31209.00","USD"
"ocds-5wno2w-MCO-GADR-PM-001-2023-116628","MCO-GADR-PM-001-2023-116628-2023-02-02T10:37:36.125Z","CONSTRUCCIÓN ADOQUINADO VEHICULAR Y PEATONAL DEL PRIMER TRAMO DE LA CALLE JUAN MONTALVO DESDE LA CALLE PATRIA HASTA LA CALLE 18 DE SEPTIEMBRE Y 68,40m HACIA LA CALLE ESMERALDAS PERTENECIENTE A LA PARROQUIA MONTALVO, CANTON RIOVERDE PROVINCIA ESSMERALDAS","750105","","85673.00","USD"
"ocds-5wno2w-RE-CEP-AGRO-2023-01-382354","RE-CEP-AGRO-2023-01-382354-2023-02-18T10:52:52.490Z-compiled","CONTRATACIÓN DEL SERVICIO DE ADECUACIONES PARA LA REUBICACIÓN DE LA FERIA DE LA CIUDADELA LAKENNEDY","730417","","59518.43","USD"
"ocds-5wno2w-RE-CBMM-01-2023-22249","RE-CBMM-01-2023-22249-2023-02-11T10:42:12.320Z-compiled","CONTRATACIÓN DEL SERVICIO DE IMPRESIÓNPROMOCIONAL, INFORMATIVO Y PREVENTIVO INSTITUCIONAL DEL CUERPO DE BOMBEROS MUNICIPALDE MACHALA","53.02.04","","14386.00","USD"
